algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A*,291,28.333333333333332,21.0,24.487904591131677,0.22783505154639175,0.2,0.12323982901971131,15.326597938144326,14.66,5.397143986744369
ML,297,26.026936026936028,19.0,20.877197611446324,0.19999999999999998,0.2,0.1,14.737845117845115,13.49,5.3067659582263405
