algorithm,slope,intercept,pearson_r,pearson_p,n
A* (Dynamic),3.23199235333859,-20.411555923858135,0.8741266065369464,0.0,1144
ML (Dynamic),3.326748465739338,-22.62706049679869,0.886895168338673,0.0,1136
