algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A* (Dynamic),1144,45.15472027972028,27.0,42.29556475975803,0.2601398601398602,0.2,0.2803609372535486,20.286643356643356,17.07,11.43928402454909
ML (Dynamic),1136,44.227112676056336,26.0,44.53947815674762,0.21971830985915494,0.2,0.2989825770403767,20.095950704225352,16.49,11.874011030397044
