algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A*,260,27.307692307692307,17.0,25.32197182689881,0.23192307692307693,0.2,0.13984324458526073,15.311423076923077,14.36,5.691102916587206
ML,259,29.01158301158301,17.0,29.696198517640102,0.22046332046332046,0.2,0.12391458050528197,15.92957528957529,14.83,6.0101076533593325
