algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A*,357,79.69747899159664,64.0,55.75063177278681,0.27142857142857146,0.2,0.20298732060758828,30.23669467787115,26.24,16.192285191359318
ML,356,78.6432584269663,65.5,50.294112270434354,0.2477528089887641,0.2,0.14249489486472802,29.989185393258428,27.41,13.76300610626274
