Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
326,Maze,astar_dynamic,0.2,44,22.0,Yes
327,Maze,astar_dynamic,0.2,197,80.83,Yes
328,Maze,astar_dynamic,0.1,133,56.41,Yes
329,Maze,astar_dynamic,0.1,56,20.41,Yes
330,Maze,astar_dynamic,0.0,67,24.0,Yes
331,Maze,astar_dynamic,0.0,70,28.0,Yes
332,Maze,astar_dynamic,0.1,67,24.41,Yes
333,Maze,astar_dynamic,0.8,139,37.41,Yes
334,Maze,astar_dynamic,0.2,224,84.66,Yes
335,Maze,astar_dynamic,0.2,22,12.83,Yes
336,Maze,astar_dynamic,0.2,66,22.83,Yes
337,Maze,astar_dynamic,0.1,74,21.41,Yes
338,Maze,astar_dynamic,0.1,179,41.0,Yes
339,Maze,astar_dynamic,0.1,77,26.24,Yes
340,Maze,astar_dynamic,0.2,99,42.0,Yes
341,Maze,astar_dynamic,0.1,23,12.41,Yes
342,Maze,astar_dynamic,0.2,146,44.41,Yes
343,Maze,astar_dynamic,0.2,94,37.41,Yes
344,Maze,astar_dynamic,0.1,62,27.0,Yes
345,Maze,astar_dynamic,0.1,161,36.0,Yes
346,Maze,astar_dynamic,0.4,81,47.83,Yes
347,Maze,astar_dynamic,0.0,70,32.0,Yes
348,Maze,astar_dynamic,0.1,86,33.41,Yes
349,Maze,astar_dynamic,0.1,14,9.0,Yes
350,Maze,astar_dynamic,0.2,107,45.83,Yes
351,Maze,astar_dynamic,0.2,57,26.0,Yes
352,Maze,astar_dynamic,0.2,118,35.83,Yes
353,Maze,astar_dynamic,0.1,88,35.41,Yes
354,Maze,astar_dynamic,0.3,126,27.83,Yes
355,Maze,astar_dynamic,0.3,200,60.41,Yes
356,Maze,astar_dynamic,0.1,39,19.0,Yes
357,Maze,astar_dynamic,0.3,133,34.0,Yes
358,Maze,astar_dynamic,0.1,25,18.0,Yes
359,Maze,astar_dynamic,0.1,53,23.0,Yes
360,Maze,astar_dynamic,0.1,35,20.0,Yes
