algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A*,1145,46.38427947598253,29.0,44.8623469318037,0.26593886462882094,0.2,0.17899197085296506,20.385135371179036,16.83,12.231185930613844
A* (Dynamic),1144,45.15472027972028,27.0,42.29556475975803,0.2601398601398602,0.2,0.2803609372535486,20.286643356643356,17.07,11.43928402454909
ML,1137,44.87071240105541,28.0,42.26001001016137,0.23562005277044853,0.2,0.14249841814910513,20.09942832014072,17.0,11.228443233012266
ML (Dynamic),1136,44.227112676056336,26.0,44.53947815674762,0.21971830985915494,0.2,0.2989825770403767,20.095950704225352,16.49,11.874011030397044
