algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A* (Dynamic),357,78.07282913165267,66.0,50.16422766472389,0.2750700280112045,0.2,0.2777726580797409,30.19204481792717,27.41,14.112625314904545
ML (Dynamic),356,78.40449438202248,62.5,54.87881021605284,0.26488764044943824,0.2,0.4092283893667601,30.213988764044945,27.205,15.194550833468533
