algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A* (Variable Cost),295,27.128813559322033,19.0,24.91721702698525,0.271864406779661,0.2,0.21202357217390944,15.40877966101695,14.66,5.306831933684544
ML (Variable Cost),301,25.285714285714285,18.0,20.968502455781035,0.20332225913621263,0.2,0.2585644841611971,14.704186046511625,14.0,4.972777200445574
