algorithm,count,Nodes Visited_mean,Nodes Visited_median,Nodes Visited_std,Time (ms)_mean,Time (ms)_median,Time (ms)_std,Path Length_mean,Path Length_median,Path Length_std
A* (Dynamic),232,37.02155172413793,26.0,29.756216727691797,0.23663793103448277,0.2,0.18232003623103324,16.781336206896555,16.275,6.5341445137958365
ML (Dynamic),220,33.945454545454545,25.0,28.63447370334106,0.19090909090909092,0.2,0.13917267258226498,16.50609090909091,15.66,6.15565086869525
