algorithm,slope,intercept,pearson_r,pearson_p,n
A*,3.2510754753034132,-19.88933418999781,0.8863671058792754,0.0,1145
ML,3.3318558830572127,-22.09768609349208,0.8852708419730673,0.0,1137
