Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
59,Random,13.8%,ml,0.20,9,8.83,Yes
60,Random,19.5%,astar,0.30,12,7.41,Yes
60,Random,19.5%,ml,0.10,12,7.83,Yes
61,Random,27.8%,astar,0.40,17,11.00,Yes
61,Random,27.8%,ml,0.30,25,22.49,Yes
62,Random,29.0%,astar,0.30,73,18.41,Yes
62,Random,29.0%,ml,0.80,218,0,No
63,Random,31.3%,astar,0.30,12,11.41,Yes
63,Random,31.3%,ml,0.30,72,22.24,Yes
64,Random,28.2%,astar,0.30,20,12.83,Yes
64,Random,28.2%,ml,0.40,42,20.24,Yes
65,Random,30.3%,astar,0.30,24,14.83,Yes
65,Random,30.3%,ml,0.70,184,34.24,Yes
66,Random,31.3%,astar,0.30,32,18.66,Yes
66,Random,31.3%,ml,0.20,30,12.41,Yes
67,Random,30.5%,astar,0.20,33,21.24,Yes
67,Random,30.5%,ml,0.20,14,12.66,Yes
68,Random,30.0%,astar,0.30,41,21.07,Yes
68,Random,30.0%,ml,0.30,13,12.83,Yes
69,Random,29.3%,astar,0.20,23,12.24,Yes
69,Random,29.3%,ml,0.20,14,9.41,Yes
70,Random,28.5%,astar,0.30,86,25.49,Yes
70,Random,28.5%,ml,0.30,20,13.41,Yes
71,Random,33.0%,astar,0.50,91,26.41,Yes
71,Random,33.0%,ml,0.40,8,7.00,Yes
72,Random,29.5%,astar,0.30,64,29.83,Yes
72,Random,29.5%,ml,0.30,103,32.66,Yes
73,Random,32.5%,astar,0.50,78,0,No
73,Random,32.5%,ml,0.30,48,0,No
74,Random,32.3%,astar,0.30,43,16.24,Yes
74,Random,32.3%,ml,0.20,28,16.66,Yes
75,Random,27.8%,astar,0.20,13,9.83,Yes
75,Random,27.8%,ml,0.20,23,15.24,Yes
76,Random,28.7%,astar,0.20,28,11.41,Yes
76,Random,28.7%,ml,0.40,80,28.66,Yes
77,Random,31.8%,astar,0.20,13,11.24,Yes
77,Random,31.8%,ml,0.70,269,0,No
78,Random,30.8%,astar,0.40,22,13.41,Yes
78,Random,30.8%,ml,0.20,15,10.00,Yes
79,Random,33.5%,astar,0.40,56,21.49,Yes
79,Random,33.5%,ml,0.20,18,0,No
80,Random,32.3%,astar,0.20,17,15.83,Yes
80,Random,32.3%,ml,0.30,35,11.83,Yes
81,Random,28.5%,astar,0.30,12,9.83,Yes
81,Random,28.5%,ml,0.30,42,13.41,Yes
82,Random,28.5%,astar,0.30,116,40.49,Yes
82,Random,28.5%,ml,0.20,80,25.49,Yes
83,Random,30.5%,astar,0.60,271,0,No
83,Random,30.5%,ml,0.20,22,19.24,Yes
84,Random,27.5%,astar,0.30,71,28.66,Yes
84,Random,27.5%,ml,0.20,24,11.41,Yes
85,Random,28.0%,astar,0.60,267,0,No
85,Random,28.0%,ml,0.10,15,14.66,Yes
86,Random,30.8%,astar,0.30,66,21.49,Yes
86,Random,30.8%,ml,0.20,62,21.31,Yes
87,Random,25.5%,astar,0.30,43,22.07,Yes
87,Random,25.5%,ml,0.20,56,17.66,Yes
88,Random,32.0%,astar,0.30,29,17.41,Yes
88,Random,32.0%,ml,0.30,63,18.24,Yes
89,Random,30.5%,astar,0.40,158,28.00,Yes
89,Random,30.5%,ml,0.20,10,9.83,Yes
90,Random,30.5%,astar,0.20,32,13.83,Yes
90,Random,30.5%,ml,0.20,51,22.66,Yes
91,Random,29.0%,astar,0.30,15,12.41,Yes
91,Random,29.0%,ml,0.60,281,0,No
92,Random,30.3%,astar,0.30,51,21.24,Yes
92,Random,30.3%,ml,0.50,268,0,No
93,Random,34.0%,astar,0.20,26,14.66,Yes
93,Random,34.0%,ml,0.30,227,0,No
94,Random,30.3%,astar,0.30,15,13.24,Yes
94,Random,30.3%,ml,0.20,42,21.24,Yes
95,Random,33.8%,astar,0.10,11,9.83,Yes
95,Random,33.8%,ml,0.10,20,13.24,Yes
96,Random,28.7%,astar,0.20,12,11.83,Yes
96,Random,28.7%,ml,0.10,20,13.24,Yes
97,Random,28.5%,astar,0.30,29,16.24,Yes
97,Random,28.5%,ml,0.10,41,17.41,Yes
98,Random,29.8%,astar,0.50,15,13.41,Yes
98,Random,29.8%,ml,0.20,58,20.24,Yes
99,Random,30.3%,astar,0.30,38,18.07,Yes
99,Random,30.3%,ml,0.20,74,22.83,Yes
100,Random,27.8%,astar,0.20,34,13.24,Yes
100,Random,27.8%,ml,0.00,19,10.66,Yes
101,Random,29.5%,astar,0.60,143,26.49,Yes
101,Random,29.5%,ml,0.20,21,17.24,Yes
102,Random,34.0%,astar,0.20,27,15.24,Yes
102,Random,34.0%,ml,0.30,62,19.66,Yes
103,Random,31.8%,astar,0.20,21,14.24,Yes
103,Random,31.8%,ml,0.30,94,23.24,Yes
104,Random,34.0%,astar,0.50,213,0,No
104,Random,34.0%,ml,0.30,20,14.41,Yes
105,Random,28.2%,astar,0.20,74,20.83,Yes
105,Random,28.2%,ml,0.30,14,12.24,Yes
106,Random,33.3%,astar,0.10,16,11.41,Yes
106,Random,33.3%,ml,0.40,13,9.41,Yes
107,Random,30.0%,astar,0.20,28,16.24,Yes
107,Random,30.0%,ml,0.20,22,14.83,Yes
108,Random,31.8%,astar,0.10,20,10.83,Yes
108,Random,31.8%,ml,0.20,19,13.83,Yes
109,Random,30.8%,astar,0.20,16,17.49,Yes
109,Random,30.8%,ml,0.20,3,0,No
110,Random,25.3%,astar,0.30,46,14.24,Yes
110,Random,25.3%,ml,0.20,39,17.41,Yes
111,Random,30.5%,astar,0.80,57,16.83,Yes
111,Random,30.5%,ml,1.00,263,0,No
112,Random,31.8%,astar,0.30,35,22.83,Yes
112,Random,31.8%,ml,0.20,28,21.24,Yes
113,Random,31.8%,astar,0.30,11,7.41,Yes
113,Random,31.8%,ml,0.10,19,10.41,Yes
114,Random,31.0%,astar,0.60,14,12.66,Yes
114,Random,31.0%,ml,0.30,79,0,No
115,Random,29.5%,astar,0.30,20,14.66,Yes
115,Random,29.5%,ml,0.30,40,14.24,Yes
116,Random,30.8%,astar,0.30,16,15.24,Yes
116,Random,30.8%,ml,0.30,20,12.07,Yes
117,Random,30.5%,astar,0.30,54,23.66,Yes
117,Random,30.5%,ml,0.20,32,15.66,Yes
118,Random,34.8%,astar,0.30,30,20.07,Yes
118,Random,34.8%,ml,0.30,25,17.41,Yes
119,Random,29.0%,astar,0.30,20,15.83,Yes
119,Random,29.0%,ml,0.40,48,20.49,Yes
120,Random,30.5%,astar,0.30,21,13.83,Yes
120,Random,30.5%,ml,0.70,256,0,No
121,Random,37.8%,astar,0.60,165,0,No
121,Random,37.8%,ml,0.20,27,13.41,Yes
122,Random,38.5%,astar,0.50,8,0,No
122,Random,38.5%,ml,0.30,113,0,No
123,Random,41.3%,astar,0.30,61,23.83,Yes
123,Random,41.3%,ml,0.20,20,0,No
124,Random,39.0%,astar,0.10,8,0,No
124,Random,39.0%,ml,0.20,8,0,No
125,Random,38.0%,astar,0.50,202,0,No
125,Random,38.0%,ml,0.30,202,0,No
126,Random,39.3%,astar,0.60,119,39.49,Yes
126,Random,39.3%,ml,0.10,34,14.83,Yes
127,Random,36.3%,astar,0.40,62,0,No
127,Random,36.3%,ml,0.30,149,0,No
128,Random,39.0%,astar,0.40,1,0,No
128,Random,39.0%,ml,0.30,142,0,No
129,Random,44.3%,astar,0.20,22,0,No
129,Random,44.3%,ml,0.40,97,0,No
