Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
54,Random,18.8%,ml_dynamic,0.10,15,9.83,Yes
55,Random,20.0%,ml,0.30,34,16.24,Yes
55,Random,20.0%,ml_dynamic,0.70,24,13.24,Yes
56,Random,18.8%,ml,0.10,10,10.66,Yes
56,Random,18.8%,ml_dynamic,0.10,40,15.41,Yes
57,Random,16.8%,ml,0.30,28,19.49,Yes
57,Random,16.8%,ml_dynamic,0.20,8,8.24,Yes
58,Random,16.5%,ml,0.40,13,12.24,Yes
58,Random,16.5%,ml_dynamic,0.20,79,18.24,Yes
59,Random,18.3%,ml,0.30,11,8.83,Yes
59,Random,18.3%,ml_dynamic,0.20,11,12.49,Yes
60,Random,20.0%,ml,0.50,8,8.66,Yes
60,Random,20.0%,ml_dynamic,0.10,20,14.24,Yes
61,Random,29.8%,ml,0.20,16,12.66,Yes
61,Random,29.8%,ml_dynamic,0.00,20,14.83,Yes
62,Random,30.0%,ml,0.20,4,0,No
62,Random,30.0%,ml_dynamic,0.10,4,0,No
63,Random,28.0%,ml,0.40,13,10.00,Yes
63,Random,28.0%,ml_dynamic,0.20,10,11.07,Yes
64,Random,27.0%,ml,0.40,40,16.83,Yes
64,Random,27.0%,ml_dynamic,0.20,28,15.83,Yes
65,Random,28.7%,ml,0.70,259,0,No
65,Random,28.7%,ml_dynamic,0.30,24,10.49,Yes
66,Random,28.2%,ml,0.10,21,14.24,Yes
66,Random,28.2%,ml_dynamic,0.10,22,12.83,Yes
67,Random,28.2%,ml,0.60,109,23.66,Yes
67,Random,28.2%,ml_dynamic,0.30,121,26.66,Yes
68,Random,31.5%,ml,0.20,32,13.41,Yes
68,Random,31.5%,ml_dynamic,0.20,31,17.66,Yes
69,Random,32.3%,ml,0.30,32,20.24,Yes
69,Random,32.3%,ml_dynamic,0.20,16,0,No
70,Random,34.5%,ml,0.20,10,9.83,Yes
70,Random,34.5%,ml_dynamic,0.40,65,23.24,Yes
71,Random,33.5%,ml,0.60,245,0,No
71,Random,33.5%,ml_dynamic,0.10,17,12.41,Yes
72,Random,31.0%,ml,0.20,35,19.24,Yes
72,Random,31.0%,ml_dynamic,0.10,49,23.24,Yes
73,Random,31.3%,ml,0.20,40,21.83,Yes
