algorithm,count,nodes_median,nodes_mean,nodes_std,path_median
A* (Dynamic),1144,27.0,45.15472027972028,42.29556475975803,17.07
ML (Dynamic),1136,26.0,44.227112676056336,44.53947815674762,16.49
